Date,Study,Surface,Does Virus persist on surface,Hydrophobic or Hydrophilic,Time of persistence
2020-04-07,Can N95 respirators be reused after disinfection? And for how many times? (medrxiv) (medrxiv),Dry heat,unknown,SARS-CoV / Mask is usable afer decontamination,Static air oven at 75 degrees celcius for 40 min
2020-04-07,Can N95 respirators be reused after disinfection? And for how many times? (medrxiv) (medrxiv),Steam,unknown,bases (denatures bases),15 cm above boiling water for 10 min
2020-04-07,Can N95 respirators be reused after disinfection? And for how many times? (medrxiv) (medrxiv),Ethanol,unknown,Ineffective on N95 mask / Decontamination denatures mask,75% Ethanol immersion + air dry
2020-04-07,Can N95 respirators be reused after disinfection? And for how many times? (medrxiv) (medrxiv),Chlorine-based disinfectant,unknown,Ineffective on N95 mask / Decontamination denatures mask,2% Chlorine spray for 5 min
2020-04-07,Can N95 respirators be reused after disinfection? And for how many times? (medrxiv) (medrxiv),UVGI,unknown,SARS-CoV / Mask is usable afer decontamination,"254 nm, 17 mW/cm2 for 30 min"
2020-04-06,"Rapid evidence summary on SARS-CoV-2 survivorship and disinfection, and a reusable PPE protocol using a double-hit process (medrxiv) (medrxiv)","4 days storage (20 degrees celcius & 40-50% humidity) + UVGI ( UVC dose 2,000 mJ/cm2)",unknown (theoretically 99.99%),SARS-CoV-2 on N95 mask and face shields,unspecified
2020-04-06,"Rapid evidence summary on SARS-CoV-2 survivorship and disinfection, and a reusable PPE protocol using a double-hit process (medrxiv) (medrxiv)",4 days storage (20 degrees celcius & 40-50% humidity) + Heat treatment (60 degrees celcius),unknown (theoretically 99.99%),SARS-CoV-2 on N95 mask,unspecified
2020-04-06,"Rapid evidence summary on SARS-CoV-2 survivorship and disinfection, and a reusable PPE protocol using a double-hit process (medrxiv) (medrxiv)",4 days storage (20 degrees celcius & 40-50% humidity) + Chlorine chemical disinfection + rinse with warm water,unknown (theoretically 99.99%),SARS-CoV-2 on goggles/eyewear,"5,000 mg/L chlorine"
2020-04-06,"Rapid evidence summary on SARS-CoV-2 survivorship and disinfection, and a reusable PPE protocol using a double-hit process (medrxiv) (medrxiv)",4 days storage (20 degrees celcius & 40-50% humidity) + Alcohol chemical disinfection + rinse with warm water,unknown (theoretically 99.99%),SARS-CoV-2 on goggles/eyewear,>80% alcohol
2020-03-27,UV Sterilization of Personal Protective Equipment with Idle Laboratory Biosafety Cabinets During the COVID-19 Pandemic (medrxiv) (medrxiv),Ultraviolet Germicidal Irradiation (UVGI),unknown,ssRNA,1.32-3.20 mJ cm-2
2020-03-27,UV Sterilization of Personal Protective Equipment with Idle Laboratory Biosafety Cabinets During the COVID-19 Pandemic (medrxiv) (medrxiv),(UVGI),unknown,ssRNA on N95 mask,60 mJ cm-2
2020-03-27,UV Sterilization of Personal Protective Equipment with Idle Laboratory Biosafety Cabinets During the COVID-19 Pandemic (medrxiv) (medrxiv),(UVGI) (254nm UV-C),unknown,ssRNA and other bacteria on N95 mask,100 µWcm−2
2020-03-27,Hydrogen Peroxide Vapor sterilization of N95 respirators for reuse (medrxiv) (medrxiv),Bioquell Hydrogen Peroxide Vapor + 275° F steam,unknown,"aerosolized bacteriophages: T1, T7, and Pseudomona",unspecified
